あ
ああ<副>            那么;那样
げんばく[原爆]      原子弹
けんぶつ[見物(する/他)] 游览;参观
けんぶつにん[見物人] 游客;观众
けんぽう[憲法]      宪法
けんめい[賢明(な)]  贤明;明智;高明
けんり[権利]        权利
げんり[原理]        原理
げんりょう[原料]    原料
けんりょく[権力]    权力
げんろん[言論]      言论

こ
こ[子]              孩子;儿子
ご[後]              后;以后
ご[五]              五
ご[語]              语言;单词
ご[碁]              围棋
ご[御]          (表示尊敬，谦逊的冠词)
こい[濃い]          浓;稠;深;密
こい                鲤鱼
こい[恋(する/自他)] 恋爱;爱情
ごい[語彙]          词汇;语汇
こいしい[恋しい]    眷恋;怀念;爱慕
こいびと[恋人]      情人;(恋爱)对象
こう                这样;这么;如此
こうい[好意]        好意;美意;善意
こうい[行為]        行为
こううん[幸運]      幸运;好运
こうえん[講演(する/自)] 讲演;演讲
こうえん[公園]      公园
こうか[効果]        效果
ごうか[豪華(な)]    豪华;奢华
こうかい[航海(する/自)] 航海;航行
こうかい[公開(する/他)] 公开
こうかい[後悔(する/他)] 后悔;懊悔
こうがい[郊外]      郊外;城外;郊区
こうがい[公害]      公害
ごうかく[合格(する/自)] 合格;及格
こうかん[交換(する/他)] 交换;互换
こうき[後期]        后期;后半期
こうぎ[講義(する/他)] 讲课;讲授
こうぎ[抗議(する/自)] 抗议
こうきゅう[高級(な)] 高级
こうきょう[公共(の)] 公共
こうぎょう[工業]    工业
こうぎょう[鉱業]    矿业
こうくう[航空]      航空
こうくうき[航空機]  飞机
こうくうびん[航空便] 航空邮件
こうけい[光景]      情景;光景;场面
こうげい[工芸]      手工艺
ごうけい[合計(する/他)]合计;共计;总计
こうげき[攻撃(する/他)] 攻击
こうげん[高原]      高原
こうご[交互(に)]    相互交替;轮流
こうこう[高校]      高中
こうこう[孝行(する/自)] 孝顺;孝敬
こうごう[皇后]      皇后
こうこうせい[高校生] 高中生
こうこく[広告(する/他)] 广告
こうさい[交際(する/自)] 交际;应酬
こうさてん[交差点]  十字路口;交叉点
こうざん[鉱山]      矿山
こうし[講師]    演讲者;(大学职位)讲师
こうじ[工事]        工程;施工
こうしき[公式]      正式;公式
こうして            这样
こうしゃ[校舎]      校舍
こうしゅう[講習]    讲习
こうしょう[交渉(する/自)] 交涉;谈判
こうじょう[向上(する/自)] 向上;提高;进步
こうじょう[工場]    工厂
こうしん[行進(する/自)] 行进;进行
こうすい[香水]      香水
こうずい[洪水]      洪水;洪流
こうせい[校正(する/他)] 校正;校对
こうせん[光線]      光线
こうぜん[公然(と)]  公然地;公开地
こうぞう[構造]      构造;结构
こうそくどうろ[高速道路] 高速公路
こうたい[交替(する/自)]交替;换班;轮流
こうちゃ[紅茶]      红茶
こうちょう[校長]    校长
こうつう[交通]      交通
こうつうひ[交通費]  交通费
こうてい[肯定(する/他)] 肯定;承认
こうとう[高等(な)]  高等;高级
こうどう[行動(する/自)] 行动;行为
こうどう[講堂]      礼堂;大厅
ごうとう[強盗]      强盗
ごうどう[合同]      联合;合并
こうとうがっこう[高等学校] 高级中学;高中
こうば[工場]        (小規模的)工厂
こうはい[後輩]      后辈
こうはん[後半]      后半部;后一半
こうばん[交番]      (警察)派出所
こうふく[幸福(な)]  幸福
こうぶつ[鉱物]      矿物
こうふん[興奮(する/自)] 兴奋
こうへい[公平(に)]  公正;公平;公道
こうみょう[巧妙(な)] 巧妙
こうむいん[公務員]  公务员
こうもく[項目]      项目;条目
こうよう[紅葉]      红叶;霜叶
こうり[小売り]      零售;小卖
こうりつ[公立(の)]  (属于政府的设施)公立
こうりょ[考慮(する/他)] 考虑
こうりょく[効力]    效力;效果;效验
こえ[声]            (人或动物的)声音
こえる[越える/自] 越过;渡过;超过;胜过
コース              路线;课程
コーチ           教练;技术指导;教练员
コート              大衣;外套;上衣
コード              软电线
コーヒー            咖啡
こおり[氷]          冰;冰块儿
こおる[凍る/自]     冻;结冰
ごかい[誤解(する/他)] 误会;误解
ごがく[語学]        语言学;学习外国语
こがた[小型(の)]    小型
こぎって[小切手]    支票
こきゅう[呼吸(する/自)] 呼吸
こきょう[故郷]      故乡;家乡;出生地
こぐ[漕ぐ/他]       划;揺;蹬
こくがい[国外(の)]  国外
こくご[国語]        国语
こくさい[国際]      国际
こくさん[国産]      国产
こくせき[国籍]      国籍
こくない[国内(の)]  国内
こくばん[黒板]      黑板
こくほう[国宝]      国宝
こくぼう[国防]      国防
こくみん[国民]      国民
こくめい[国名]      国名;国号
こくりつ[国立(の)]  国立
こくれん[国連]      联合国
ごくろうさま<感>    让你受累了;辛苦了
こげる[焦げる/自]   烤糊;烧焦 
ここ                这里
ごご[午後]          下午
こごえる/自         冻僵
ここちよい[心地よい] 舒服;畅快;舒适
ここのか[九日]      九日;九号;九天
ここのつ[九つ]      九;九个;九岁
こころ[心]     心;心地;心肠;心胸;想法
こころがけ[心がけ]留心;用心;为人;作风
こころがける[心がける/他]  挂在心上;留心
こころづよい[心づよい] (心里感觉)壮胆;放心
こころぼそい[心細い] 胆小;心中不安
こころみ[試み]      尝试
こころみる[試みる/他] 试试看;试验一下
こころよい          高兴;愉快;爽快
ございます        (敬语表示)有;在;是
こさめ[小雨]        小雨;细雨
こし[腰]            腰;腰部
こしかける[腰かける/自] 坐下
こしょう[故障]      故障;毛病
こじん[個人]        个人
こす/他             过滤
こす[越す/自]       越过;胜过;渡过
こする/他           摩擦;擦;搓;揉;蹭
こせい[個性]        个性
こせき[戸籍]        户籍;户口
ごぜん[午前]        上午;午前
ごぞんじ[ご存じ]  您知道???;您认识???
こたい[固体]        固体
こだい[古代]        古代
こたえ[答え]        回答;解答
こたえる[答える/自] 回答;解答
ごちそう(する/他)   好吃的饭菜;盛宴
ごちそうさま<感>  (饭后)吃好了;吃饱了
こちょう[誇張(する/他)] 夸张;夸大
こちら              这边
こつ                秘决;窍门
こっか[国家]        国家
こっかい[国会]      国会
こづかい[小づかい]  零用钱
こっき[国旗]        国旗
こっきょう[国境]    国境;边境
こっこう[国交]      邦交
こつこつ            孜孜不倦;一点一点
こっそり       偷偷;探头探脑;蹑手蹑脚
こっち              这边;这里;这方面
こづつみ[小包]      小包;包裹;邮包
コップ              (无手把儿的)杯子
こてい[固定(する/自他)] 固定
こてん[古典]        古典作品
こと[事]            事;事情
こと[琴]            筝;古琴
ごと(に)            每???
ことがら[事柄]      事情
こどく[孤独(な)]    孤独;孤单
ことし[今年]        今年
ことなる[異なる/自] 不同
ことに              特别;格外;尤其
ことば              言词;话
ことばづかい        措辞;表达方法
こども[子ども]      小孩;儿童
ことり[小鳥]        小鸟
ことわざ            谚语
ことわる[断る/他]谢绝;拒绝;事先打招呼
こな[粉]            粉末;粉状
この                这个;这种
このあいだ[この間]  前几天;上次;最近
このごろ            近来;最近
このましい[好ましい] 理想;令人满意
このみ[好み]        爱好;嗜好;口味
このむ[好む/他]     爱好;喜欢
ごはん[御飯]        饭;米饭
コピー              复印
ごぶさた[する/自]   久未通信;久疏问候
こぼす/他           洒;撒;泼;漏
こぼれる/自         洒了;撒出
こまかい[細かい]  细小;详细;仔细;精密
ごまかす/他         欺瞒;蒙蔽
こまる[困る/自]     为难;难办;苦恼
ごみ                垃圾;尘土
こむ[込む/自]       人多;拥挤
ゴム                橡胶;橡皮
こむぎ[小麦]        小麦
こむぎこ[小麦粉]    面粉
こめ[米]            稻米;大米;米
ごめんください    对不起,屋里有人吗?
こや[小屋]          小房;畜舍
こゆう[固有(の)]    特有
こゆび[小指]        小拇指;小脚趾
こよみ[暦]          日历
こらえる/他         忍耐;容忍;宽恕
ごらく[娯楽]        娱乐
こりる/自      不敢再尝;惩戒;戒前毖后
こる/自           专心致意;热衷;讲究
ゴルフ              高尔夫球
これ                这;这个;这件事
これから          从现在起;今后;以后
ころ[頃]            时候;时期
ころがる[転がる/自] 滚转;摔倒
ころす[殺す/他]     杀死
ころぶ[転ぶ/自]     跌倒
こわい[怖い]        可怕;令人害怕
こわがる[怖がる/他] 害怕
こわす[壊す/他]   弄坏;损害;毁掉;破坏
こわれる[壊れる/自] 坏;碎;倒塌;出故障
こん[紺]            藏青;深蓝
こんきょ[根拠]      根据
コンクール          竞演会
コンクリート        混凝土
こんげつ[今月]      这个月;本月;当月
こんご[今後]        今后;从此以后
こんごう[混合(する/他)] 混合;掺和
こんざつ[混雑(する/自)] 混乱;拥挤
こんしゅう[今週] 本周;本星期;这个礼拜
コンセント          插口;插座
こんだて[献立]      食谱;菜单
こんちゅう[昆虫]    昆虫
こんど[今度]        这次;下次
こんな              这样的;如此
こんなに            这样;这么;如此
こんなん[困難(な)]  困难;穷困
こんにち[今日]      今日;当今
こんにちは          (致词)你好;您好
こんばん[今晩]      今晩;今天晚上
こんばんは[今晩は]  (致词)晩上好
コンビニ            便利店
コンピューター      电脑;电子计算机
こんぽん[根本]      根本
こんや[今夜]        今夜;今天晚上
こんやく[婚約(する/自)]婚约;订婚;定婚
こんらん[混乱(する/自)] 混乱

さ
さ [差]             差距;差别
さあ          (不能回答时)呀;(催促)来
サービス            服务;廉价出售
さい[際]            时候;时机
さいかい[再開(する/他)] 重新开始;恢复
さいがい[災害]      灾祸;灾害
ざいがく[在学(する/自)] 在校
さいきん[最近]      最近;不久前;近来
さいきん[細菌]      细菌
さいく[細工(する/他)] 做工很细;工艺品;要花招
さいご[最後(の)]    最后;最末
さいこう[最高(の)] 最好;最高;至高无上
ざいさん[財産]      财产
さいし[妻子]        妻子儿女;妻子
さいじつ[祭日]      节日
さいしゅう[採集(する/他)] 采集;收集;搜集
さいしゅう[最終(の)] 最后;最末尾
さいしょ[最初(の)]最初;起初;开始;开头
さいじょう[最上(の)] 最好;最高;最上
サイズ              尺寸;大小;尺码
ざいせい[財政]      财政;经济状况
さいそく[催促(する/他)] 催促
さいだい[最大(の)]  最大
さいちゅう[最中(に)] 正在??的时候;正进行中
さいてい[最低(の)]  最低;最差;最坏
さいてん[採点(する/他)] 评分;打分
さいのう[才能]      才能;才干;才华
さいばい[栽培(する/他)] 栽培
さいばん[裁判]      裁判;审判
さいばんしょ[裁判所] 法院
さいふ[財布]        钱包;腰包
さいほう[裁縫]      裁缝;针线活儿
ざいもく[材木]      木材;木料
さいよう[採用(する/他)]采用;任用;录用
ざいりょう[材料]    材料;素材
サイレン            汽笛;警笛;警报
さいわい[幸い(な)]  幸运;幸福;幸而???
サイン              署名;记号
さえぎる/他       遮挡;遮拦;遮蔽;阻挡
さえずる/自         (小鸟)鸣叫;唠叨
さお                竹竿;钓竿;船篙
さか[坂]            坡
さかい[境]          界线;边界;境界
さかえる[栄える/自] 繁荣昌盛
さかさま[逆さま(に)] 逆;反;颠倒
さがす[探す/他]     寻找;寻求
さかずき[杯]        酒杯
さかな[魚]          鱼;鱼类
さかのぼる/自       追溯;逆流而上
さかや[酒屋]        酒馆;酒店
さがる[下がる/自]   下降;下垂
さかん[盛ん(に)]    繁盛;旺盛
さき[先]          尖儿;前面;事先;将来
さぎ[詐欺]          欺诈;诈骗
さぎょう[作業(する/自)] 工作
さく[咲く/自]       开(花)
さく[裂く/他]     裂开;破裂;匀出;撕开
さくいん[索引]      索引
さくじつ[昨日]      昨日;昨天
さくしゃ[作者]      作者;写作者;著者
さくせん[作戦]      作战策略;行动计划
さくねん[昨年]      去年
さくばん[昨晩]      昨晚;昨天晚上
さくひん[作品]     作品;著作;艺术制品
さくぶん[作文]      作文
さくもつ[作物]      农作物;庄稼
さくや[昨夜]        昨夜;昨晚
さくら[桜]          樱花树;樱花
さぐる/他        (用手脚)试探;摸;探索
さけ[酒]            酒
さけ                鲑鱼;大马哈鱼
さけび[叫び]        呼叫;呼喊
さけぶ[叫ぶ/自]  大声叫;呼叫;大声呼喊
さける[避ける/他]   回避;避开;躲避
さける[裂ける/自]   撕裂;裂开;破裂
さげる[下げる/他]   降低;吊
ささえる[支える/他] 支撑;支持;维持
ささる[刺さる/自]   扎进;刺入
さじ                勺子;匙子
さしあげる[差し上げる/他]  (敬语)献给;赠给
ざしき[座敷]    日式房间;(日本式)客厅
さしず[指し図(する/他)]命令;指示;分咐
さしだす[差し出す/他] 伸出;寄出;提交
さしつかえ[差し支え] 妨碍;不方便
さしみ[刺身]        生鱼片
さす[刺す/他]       刺;扎;穿;螫
さす[差す/自]       (光线)照射
さすが              真不愧是;果然
ざせき[座席]        座位
させる/他           (表示使役)使;让
さそう[誘う/他]     约;邀请;引诱
さだめる[定める/他] 决定;规定
さつ[札]            纸币;钞票
さつえい[撮影(する/他)] 摄影;照相;拍电影
ざつおん[雑音]      杂音;嘈杂音
さっか[作家]        作家
サッカー            足球
さっかく[錯覚(する/自)] 错觉
さっき              刚才
さっきょく[作曲(する/他)] 作曲;配曲
ざっし[雑誌]        杂志
さつじん[殺人]      杀人
さっそく[早速]      立刻;马上
ざつだん[雑談]     闲聊;聊天儿;说闲话
ざっと              粗略;大约
さっぱり        直爽;爽快;一点儿不???
さつまいも          红薯;白薯;甘薯
さて                (改变话题)那么
さとう[砂糖]        砂糖
さとる[悟る/他]     领悟;悟出
さばく[砂漠]        沙漠
さびしい[寂しい]    寂寞;孤单
さびる/自           生锈;长锈
ざぶとん[座布団]    座垫
さまざま[様々(な)]  各种各样;形形色色
さます[覚ます/他]   醒;叫醒
さます[冷ます/他]   弄凉;冷却
さまたげる[妨げる/他] 妨碍;阻挡
さむい[寒い]        冷;寒冷
さむさ[寒さ]        冷;寒冷;寒气
さめる[覚める/自]   醒;醒过来;清醒
さめる[冷める/自]   凉了
さよう[作用(する/自)] 作用
さようなら          再见
さら[皿]            盘子;碟子;盘形物
さらいしゅう[さ来週] 下下周;下下星期
さらいねん[さ来年]  后年
サラダ              色拉;凉拌菜
さらに              更;并且
サラリーマン        工薪阶层;工薪组
さる[猿]            猴子
さる[去る/自]       离去;离开;去;消失
ざる                笊篱;淘箩
される        (「する」的敬语和被动表现)做;搞;干;办;当
さわがしい[騒がしい] 嘈闹;喧闹;骚然;不稳
さわぎ[騒ぎ]        吵闹;骚乱
さわぐ[騒ぐ/自]    吵;闹;嚷;骚动;哄嚷
さわやか(な)        清爽;爽快
さわる[触る/自]     触;摸;碰
さん[三]            三
さん[酸]            酸味;酸
さんか[参加(する/自)] 参加;加入
さんかく[三角]      三角形
さんぎいん[参議院]  参议院
さんぎょう[産業]    产业
さんこう[参考]      参考
さんこうしょ[参考書] 参考书
ざんこく[残酷(な)]  残酷;凶狠
さんしょう[参照(する/他)] 参照;参阅;参看
さんすう[算数]      算术
さんせい[賛成(する/自)] 赞成;同意
さんそ[酸素]        氧气
さんち[産地]        产地
サンドイッチ        三明治
ざんねん[残念(な)]  遗憾;可惜
さんぶつ[産物]      物产;产品;成果
さんぽ[散歩(する/自)] 散步
さんみゃく[山脈]    山脉




し
し[四]              四
し[氏]             (敬语)(姓)先生;(姓)女士
し[市]              市;城市
し[詩]              诗
し[死]              死;死亡
じ[字]              字;文字
じ[時]              时
しあい[試合]        比赛
しあげる/他         完成
しあわせ[幸せ]      幸福;幸运
シーズン            季节;旺季
シーツ              床单;被单
しいる/他           强迫;强制
じえい[自衛]        自卫
ジェットき[ジェット機] 喷气式飞机
しお[塩]            盐;食盐
しお[潮]            海潮
しか[鹿]            鹿
しかいしゃ[司会者]  会议主持人;司仪
しかく[四角(な)]    四方形
しかく[資格]        资格;身分
じかく[自覚(する/他)] 自觉;自知;觉悟
しかし            可是;但是;然而;不过
しかた[仕方]        办法;做法
しかたがない[仕方がない]没办法;没有用
しかも              而且;并且
しかる              斥责;责备;说;训斥
じかん[時間]        时间;工夫;小时
じかんわり[時間割]  时间表;课程表
しき[四季]          四季
しき[式]          典礼;仪式;方式;算式
しき[指揮(する/他)] 指挥
じき[時期]          时期;季节
じき[磁器]          瓷器
じき                马上;立刻
しきさい[色彩]      色彩;颜色
しきち[敷地]        建筑用地;地皮
しきゅう[至急]      火急;赶快
じぎょう[事業]      事业
しきりに            频繁地;再三;不断
しきん[資金]        资金;资本金
しく[敷く/他]       铺上;铺设;布置
じく[軸]            轴;(活动)中心
しくじる/他         失败;失策
しくみ[仕組み]      结构;组织
しけい[死刑]        死刑
しげき[刺激(する/他)] 刺激
しげる[茂る/自]     繁茂;茂盛
しけん[試験(する/他)] 考试;测验
しげん[資源]        资源
じけん[事件]        事件;案件
じこ[事故]          事故;故障
じこ[自己]          自我
じこく[時刻]        时刻;时间;时候
じごく[地獄]        地狱
しごと[仕事]        工作;活动
しさつ[視察(する/他)] 视察;考察
じさつ[自殺(する/自)] 自杀
しじ[指示(する/他)] 指示;命令;吩咐
しじ[支持(する/他)] 支持;拥护
じじつ[事実]        事实;真实的
ししゃ[死者]        死者;死人
ししゃごにゅう[四捨五入(する/他)]    四舍五入
ししゅう[刺繍(する/他)] 刺绣
しじゅう[始終]      始终;自始至终
じしゅう[自習(する/自)] 自习;自学
ししゅつ[支出(する/他)] 支出;开支
じしょ[辞書]        词典;辞典
しじょう[市場]      市场
じじょう[事情]     实际情况;情形;内情
しじん[詩人]        诗人
じしん[自信]        自信;信心;把握
じしん[地震]        地震
しずか[静か(な)]    清静;平静;文静
しずく              水滴;水点
しずまる[静まる/自] 安静;平静;平息;止
しずむ[沈む/自]     沉没;沉落
しずめる[沈める/他] 把???沉入水中
しせい[姿勢]        姿势;态度
しせつ[施設]        设施;设备
しぜん[自然(に)]    自然
しそう[思想]        思想
しそん[子孫]        子孙;后代
した[下]            下
した[舌]            舌头
じたい[事態]        局势;事态
じだい[時代]        时代
しだいに[次第に]    逐渐地;慢慢地
したがう[従う/自]   服从;按照
したがき[下書き]    (打)草稿;底稿
したがって          因此;所以
したぎ[下着]        内衣
したく[仕度(する/他)] 准备;预备
じたく[自宅]        自己的住宅
したしい[親しい]    (感情)亲密
したしみ[親しみ]   亲近感情;亲密;亲切
したまち[下町]   (大都市的)普通居民区
しち[七]            七
じち[自治]          自治;地方自治
しちょう[市長]      市长
しつ[質]            实质;品质
しっかり(と)    结实;坚固;扎实;好好地
じっかん[実感(する/他)] 真实感
しつぎょう[失業(する/自)] 失业
しつけ              教养;管教
しっけ[湿気]        湿气;潮气;潮湿
じっけん[実験(する/他)] 实验;试验
じつげん[実現(する/他)] 实现
しつこい         纠缠不休;厚脸皮;过浓
じっこう[実行(する/他)] 实行;执行
じっさい[実際(に)]  实际上
じっし[実施(する/他)] 实施;进行
しっそ[質素(な)]    朴素;俭朴;简陋
しっと[嫉妬(する/他)] 嫉妒;妒忌;吃醋
しつど[湿度]        湿度
じっと              一动不动;盯着
しつない[室内]      室内
じつに[実に]        实在;确实;的确
じつは[実は]     其实是;说真的;老实说
しっぱい[失敗(する/自)] 失败
じつぶつ[実物]      实物
しっぽ              尾巴
しつぼう[失望(する/自)] 失望
しつもん[質問(する/他)] 询问;提问
じつよう[実用]      实用
じつりょく[実力]    实力;武力
しつれい[失礼(な)]  失礼;不礼貌
じつれい[実例]      实例
してい[指定(する/他)] 指定
してき[指摘(する/他)] 指出;指摘
してつ[私鉄]        私营铁路;民营铁路
してん[支店]        支店
じてん[辞典]        词典;辞典
じてんしゃ[自転車]  自行车
しどう[指導(する/他)] 指导;教导;领导
じどう[児童]        儿童
じどうしゃ[自動車]  汽车
しとやか(な)        文静;文雅
しな[品]            物品;东西
しない[市内]        市内
しなもの[品物]      物品;商品
しぬ[死ぬ/自]       死
じぬし[地主]        地主
しはい[支配(する/他)] 支配;统治
しばい[芝居]        戏剧;作戏
しばしば            屡次;常常
しばふ[芝生]        草坪;矮草地
しはらい[支払い]    支付;付款
しはらう[支払う/他] 支付;付款
しばらく            暂时;好久
しばる[縛る/他]     捆绑;扎;束缚
じびき[字引き]      字典
しびれる[痺れる/自] 麻木;发麻;陶醉
しぶい              涩味;素雅
しぶしぶ            勉强;勉强同意
じぶん[自分]        自己;我
しぼう[脂肪]        脂肪
しぼう[死亡(する/自)] 死亡
しぼる[絞る/他]     搾;拧;挤;绞
しほん[資本]        资本
しほんか[資本家]    资本家
しま[縞]            条纹花样
しま[島]            岛
しまい[姉妹]        姐妹
しまう/他           收拾
しまつ[始末(する/他)] 始末;应付;处理
しまった<感>        糟糕;坏了;完了
しまる[閉まる/自]   关闭
じまん              自夸;得意;自豪
じみ(な)            朴素;朴实
しみじみ            痛切;感概地
しみる[染みる/自]   染;渗;浸;洇;刺
しみん[市民]        市民
じむ[事務]          事务
じむいん[事務員]    办事员
じむしつ[事務室]    办公室
じむしょ[事務所]    事务所;办公处
しめい[使命]        使命;任务
しめい[氏名]        姓名
しめきり[締切]      截止;届满
しめす[示す/他]指示;表示;拿出给对方看
しめっぽい          潮湿;湿润
しめる[湿る/自]     潮湿;返潮
しめる[占める/他]   占有;占据;占
しめる[締める/他]   勒紧;绷紧
しめる[閉める/他]   关闭;合上;掩上
じめん[地面]        地面;土地;地皮
しも[霜]            霜
じゃあ              那么
しゃいん[社員]      公司职员
しゃかい[社会]      社会
じゃがいも          土豆;马铃薯
しゃがむ            蹲下
しやくしょ[市役所]  市政府
じゃぐち[蛇口]      水龙头
しゃこ[車庫]        车库
しゃしょう[車掌]    乘务员;售票员
しゃしん[写真]      照片;相片
しゃせい[写生(する/他)] 写生
しゃせつ[社説]      社论
しゃちょう[社長]    总经理;社长
シャツ              衬衫;衬衣
しゃっきん[借金(する/自)] 借钱;欠款;欠债
しゃっくり          打嗝儿
しゃどう[車道]      车行道
しゃべる/他         聊天;说;讲
じゃま              妨碍;打搅
ジャム              果酱
しゃりん[車輪]      车轮
しゃれ              幽默;洒脱;俏皮话
しゅう[週]          周;星期
しゅう[州]          州
じゆう[自由]      自由;随意;随便;任意
じゅう[十]          十
じゅう[銃]          枪
しゅうい[周囲]      周围;四周;环境
しゅうかく[収穫(する/他)] 收获
しゅうかん[週間]    ???个星期
しゅうかん[習慣]    习惯;风习;风俗
しゅうかん[週刊]    周刊
しゅうぎいん[衆議院] 众议院
じゅうきょ[住居]    住宅;住所
しゅうきょう[宗教]  宗教
しゅうげき[襲撃(する/他)] 袭击
しゅうごう[集合(する/自)] 集合
しゅうし[終始]      始终;从头到尾
じゅうじつ[充実(する/自)] 充实
しゅうしゅう[収集(する/他)] 收集
じゅうしょ[住所]    地址;住址
しゅうしょく[就職(する/自)] 就职;就业
じゅうじろ[十字路]  十字路口
ジュース            果汁
しゅうせい[修正(する/他)] 修改
じゅうたい[渋滞(する/自)] 交通堵塞
じゅうだい[重大(な)] 重大;严重
じゅうたく[住宅]    住宅;住房
しゅうだん[集団]    集团;集体
しゅうちゅう[集中(する/他)] 集中
しゅうてん[終点]    (汽车,电车)终点站;终点
じゅうてん[重点]    重点
じゅうどう[柔道]    柔道;柔术
しゅうにゅう[収入]  收入;所得
しゅうにん[就任(する/自)] 就任;就职
じゅうぶん[十分(な)] 十分;充分;足够
シューマイ          烧卖
しゅうまつ[週末]    周末
じゅうみん[住民]    居民
じゅうやく[重役]    重任者;董事
しゅうよう[収容(する/他)] 收容;容纳
じゅうよう[重要(な)]重要;要紧
しゅうり[修理(する/他)] 修理;修缮
しゅうりょう[終了(する/自他)]  完了;終了
しゅえい[守衛]      门卫;门岗
しゅかんてき[主観的(な) 主观的
しゅぎ[主義]        主义;主张
じゅぎょう[授業]    上课;教课
じゅくご[熟語]     复合语;惯用句;成语
しゅくじつ[祝日]    节日
しゅくだい[宿題]    家庭作业
じゅけん[受験(する/他)]应试;投考;报考
しゅさい[主催(する/他)] 主办;举办
しゅし[趣旨]        宗旨;主要内容
しゅじゅつ[手術]    手术;开刀
しゅしょう[首相]    首相;总理
しゅしょく[主食]    主食(品)
しゅじん[主人]    家长;丈夫;老板;主人
しゅだん[手段]      手段;办法
しゅちょう[主張(する/他)] 主张;论点
しゅっきん[出勤(する/自)] 上班
しゅっけつ[出血(する/自)] 出血
しゅっこく[出国(する/自)] 出境
しゅっさん[出産(する/他)] 生孩子;分娩
しゅつじょう[出場(する/自)] 出场;参加
しゅっしん[出身]  出生;出身;毕业;籍贯
しゅっせ[出世(する/自)] 成功;出息发迹
しゅっせき[出席(する/自)] 出席;参加
しゅっぱつ[出発(する/自)] 出发;动身
しゅっぱん[出版(する/他)] 出版
しゅと[首都]        首都
しゅび[守備]        守备;防守
しゅふ[主婦]        家庭妇女
しゅみ[趣味]        兴趣;喜好
じゅみょう[寿命]    寿命;耐用期限
しゅやく[主役]      主角
じゅよう[需要]      需求;需要
しゅるい[種類]      种类
じゅわき[受話器]    听筒;耳机
じゅん[順]          顺序;次序;轮流
しゅんかん[瞬間]    瞬间;转眼
じゅんさ[巡査]      警察;公安人员
じゅんじょ[順序]    顺序;次序;过程
じゅんすい[純粋(の)]  纯粹;纯真;一心一意
じゅんちょう[順調(に)] 顺利
じゅんばん[順番]    顺序;次序;轮流
じゅんび[準備(する/他)] 准备;预备
しよう[私用]        私事;私用
しよう[使用(する/他)] 使用;利用;雇用
しょう[省]          (日本内阁)???部
しょう[章]          章节;徽章
しょう[賞]          奖赏;奖品;奖金
しょう[小]          小;小号;小型
じょう[上]          上等;上卷;最好
じょうえん[上演(する/他)] 上演
しょうか[消化(する/他)] 消化;掌握
しょうかい[紹介(する/他)] 介绍
しょうがい[障害]    障碍;残疾;毛病
しょうがくきん[奨学金] 奖学金
しょうがくせい[小学生] 小学生
しょうがつ[正月]    正月;新年
しょうがっこう[小学校] 小学校
しょうぎ[将棋]      日本象棋
じょうきゃく[乗客]  乘客;旅客
じょうきゅう[上級] 高年班;高年级;高级
しょうぎょう[商業]  商业
じょうきょう[状況]  情况;状况
しょうきょくてき[消極的(な)] 消极
じょうげ[上下]      高低;涨落;上下
じょうけん[条件]    条件
しょうこ[証拠]      证据;证明
しょうご[正午]      中午;正午
しょうさい[詳細(に)] 详细
しょうじ[障子]      (日本式)拉窗;拉门
しょうじき[正直(な)] 正直;诚实
じょうしき[常識]    常识;常情
しょうしゃ[商社]    贸易公司;商社
じょうしゃ[乗車(する/自)] 乘车;上车;搭车
じょうしゃけん[乗車券] 车票
じょうじゅん[上旬]  上旬
しょうじょ[少女]    少女;小姑娘
しょうしょう[少々]  稍微;一点儿
しょうじょう[症状]  症状;病情
じょうしょう[上昇(する/自)] 上升;上涨
じょうず[上手(に)]  高明;拿手;能手
しょうずる[生ずる/自他]  生;长;产生;发生
じょうせい[情勢]    形势;情势
しょうせつ[小説]    小说
しょうせつか[小説家] 小说家
しょうたい[招待(する/他)] 招待;请客;邀请
じょうたい[状態]    状态;情况;情形
しょうだく[承諾(する/他)] 承诺;同意;答应
じょうだん          玩笑;笑话;戏言
しょうち[承知(する/他)]知道;同意;答应
しょうちょう[象徴]  象征
しょうてん[焦点]    焦点;中心;核心
しょうてん[商店]    商店
じょうとう[上等(の)] 上等;优质;高级
しょうどく[消毒(する/他)] 消毒;杀菌
しょうとつ[衝突(する/自)] 撞上;冲突
しょうにん[商人]    商人
しょうにん[承認(する/他)] 承认;同意
じょうねつ[情熱]    热情
しょうねん[少年]    少年
しょうはい[勝敗]    胜败
しょうばい[商売(する/自)] 买卖;生意
じょうはつ[蒸発(する/自)] 蒸发;汽化;失踪
しょうひ[消費(する/他)]消费;耗费;花费
しょうひん[商品]    商品;货物
しょうひん[賞品]    奖品;赏品
じょうひん[上品(な)] 文雅;高尚
しょうぶ[勝負(する/自)]胜负;比赛;竞争
じょうぶ[丈夫(な)]  健康;结实
しょうべん[小便]    小便;尿
しょうぼう[消防]    消防
じょうほう[情報]    情报;消息
しょうめい[証明(する/他)] 证明;证实
しょうめい[照明(する/他)] 照明
しょうめん[正面]    正面;对面
しょうもう[消耗(する/他)] 消耗;疲乏
じょうやく[条約]    条约
しょうゆ            酱油
しょうらい[将来]    将来;未来;前途
しょうり[勝利]      胜利
じょうりく[上陸(する/自)]  登陆;上陆;登岸
しょうりゃく[省略(する/他)] 省略;从略
しょうりょう[少量(の)] 少量
